ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-12-02T01:35:15.806108400Z,anonymous,45480ffd,T4_delete,success,,3,200,on
2025-12-02T01:35:17.995807400Z,anonymous,9570f2f4,T4_delete,success,,1,200,on
2025-12-02T01:35:36.502293700Z,anonymous,51d1f61f,T3_add,success,,7,201,on
2025-12-02T01:35:55.796196700Z,anonymous,2a8a15e3,T1_filter,success,found_1,0,200,on
2025-12-02T01:36:10.973936900Z,anonymous,63e7723f,T2_edit,success,,1,200,on
2025-12-02T01:36:30.041334600Z,anonymous,724074f1,T4_delete,success,,1,200,on
2025-12-02T01:36:47.399243Z,anonymous,fe7250d6,T3_add,success,,1,201,on
2025-12-02T01:36:52.119216600Z,anonymous,b7d43815,T1_filter,success,found_1,0,200,on
2025-12-02T01:36:52.895968500Z,anonymous,53382352,T1_filter,success,found_1,0,200,on
2025-12-02T01:36:54.928043500Z,anonymous,de214ed8,T1_filter,success,found_1,0,200,on
2025-12-02T01:36:57.600993500Z,anonymous,81daa202,T1_filter,success,found_1,0,200,on
2025-12-02T01:36:59.472760200Z,anonymous,3650a937,T1_filter,success,found_1,0,200,on
2025-12-02T01:37:00.546794400Z,anonymous,dbcb6cb9,T1_filter,success,found_1,0,200,on
2025-12-02T01:37:15.972430300Z,anonymous,127a2cae,T2_edit,success,,0,200,on
2025-12-02T01:37:23.375106300Z,anonymous,366a2ffd,T4_delete,success,,0,200,on
2025-12-02T01:40:34.803809900Z,anonymous,18ebd4b8,T3_add,success,,0,201,on
2025-12-02T01:40:42.319790500Z,anonymous,c9d434d0,T3_add,success,,1,201,on
2025-12-02T01:40:46.946999200Z,anonymous,ad3ad938,T1_filter,success,found_0,1,200,on
2025-12-02T01:40:47.622200900Z,anonymous,8adcf7d3,T1_filter,success,found_0,0,200,on
2025-12-02T01:40:48.171809800Z,anonymous,3deebd49,T1_filter,success,found_2,0,200,on
2025-12-02T01:40:48.548705200Z,anonymous,3698c298,T1_filter,success,found_2,0,200,on
2025-12-02T01:40:52.480255600Z,anonymous,f262c877,T4_delete,success,,1,200,on
2025-12-02T01:41:07.996614100Z,anonymous,e5b186bf,T2_edit,success,,1,200,on
2025-12-02T01:41:16.147578800Z,anonymous,bbac0346,T4_delete,success,,1,200,on
